('12', '37', '43'):3
('12', '39', '43'):4
('32', '35', '37'):3
('32', '35', '43'):4
('32', '37', '39'):9
('32', '37', '43'):6
('35', '37', '39'):6
('35', '37', '43'):3
('35', '39', '43'):3
('37', '39', '43'):3
('02', '14', '28'):2
('02', '14', '35'):5
('02', '14', '43'):5
('02', '14', '44'):8
('02', '28', '35'):4
('02', '28', '43'):3
('02', '28', '44'):7
('02', '35', '43'):5
('02', '35', '44'):6
('02', '43', '44'):7
('14', '28', '35'):3
('14', '28', '43'):4
('14', '28', '44'):2
('14', '35', '43'):4
('14', '35', '44'):3
('14', '43', '44'):8
('28', '35', '43'):2
('28', '35', '44'):4
('28', '43', '44'):5
('35', '43', '44'):6
('05', '12', '24'):6
('05', '12', '30'):4
('05', '12', '46'):7
('05', '12', '47'):2
('05', '24', '30'):2
('05', '24', '46'):1
('05', '24', '47'):4
('05', '30', '46'):3
('05', '30', '47'):7
('05', '46', '47'):8
('12', '24', '30'):4
('12', '24', '46'):7
('12', '24', '47'):6
('12', '30', '46'):7
('12', '30', '47'):3
('12', '46', '47'):6
('24', '30', '46'):5
('24', '30', '47'):3
('24', '46', '47'):5
('30', '46', '47'):9
('06', '07', '23'):5
('06', '07', '29'):4
('06', '07', '43'):9
('06', '07', '49'):7
('06', '23', '29'):5
('06', '23', '43'):6
('06', '23', '49'):3
('06', '29', '43'):5
('06', '29', '49'):2
('06', '43', '49'):5
('07', '23', '29'):7
('07', '23', '43'):4
('07', '23', '49'):10
('07', '29', '43'):3
('07', '29', '49'):5
('07', '43', '49'):4
('23', '29', '43'):6
('23', '29', '49'):4
('23', '43', '49'):5
('29', '43', '49'):3
('16', '21', '35'):8
('16', '21', '38'):3
('16', '21', '47'):2
('16', '21', '48'):3
('16', '35', '38'):9
('16', '35', '47'):7
('16', '35', '48'):9
('16', '38', '47'):6
('16', '38', '48'):6
('16', '47', '48'):6
('21', '35', '38'):7
('21', '35', '47'):5
('21', '35', '48'):7
('21', '38', '47'):4
('21', '38', '48'):3
('21', '47', '48'):2
('35', '38', '47'):4
('35', '38', '48'):8
('35', '47', '48'):5
('38', '47', '48'):5
('03', '10', '15'):9
('03', '10', '28'):7
('03', '10', '34'):9
('03', '10', '39'):9
('03', '15', '28'):6
('03', '15', '34'):8
('03', '15', '39'):4
('03', '28', '34'):7
('03', '28', '39'):3
('03', '34', '39'):7
('10', '15', '28'):4
('10', '15', '34'):4
('10', '15', '39'):5
('10', '28', '34'):5
('10', '28', '39'):9
('10', '34', '39'):7
('15', '28', '34'):5
('15', '28', '39'):3
('15', '34', '39'):2
('28', '34', '39'):8
('08', '09', '25'):8
('08', '09', '38'):6
('08', '09', '42'):7
('08', '09', '48'):6
('08', '25', '38'):10
('08', '25', '42'):5
('08', '25', '48'):5
('08', '38', '42'):6
('08', '38', '48'):6
('08', '42', '48'):6
('09', '25', '38'):5
('09', '25', '42'):3
('09', '25', '48'):4
('09', '38', '42'):1
('09', '38', '48'):6
('09', '42', '48'):7
('25', '38', '42'):4
('25', '38', '48'):5
('25', '42', '48'):2
('38', '42', '48'):6
('11', '29', '35'):3
('11', '29', '45'):4
('11', '29', '49'):6
('11', '35', '43'):8
('11', '35', '45'):9
('11', '35', '49'):4
('11', '43', '45'):6
('11', '43', '49'):4
('11', '45', '49'):5
('29', '35', '43'):4
('29', '35', '45'):5
('29', '35', '49'):4
('29', '43', '45'):6
('29', '45', '49'):5
('35', '43', '45'):8
('35', '43', '49'):8
('35', '45', '49'):4
('43', '45', '49'):4
('08', '10', '14'):8
('08', '10', '29'):5
('08', '10', '30'):6
('08', '10', '46'):5
('08', '14', '29'):4
('08', '14', '30'):5
('08', '14', '46'):3
('08', '29', '30'):3
('08', '29', '46'):1
('08', '30', '46'):4
('10', '14', '29'):4
('10', '14', '30'):5
('10', '14', '46'):11
('10', '29', '30'):4
('10', '29', '46'):8
('10', '30', '46'):6
('14', '29', '30'):8
('14', '29', '46'):6
('14', '30', '46'):8
('29', '30', '46'):2
('07', '08', '16'):4
('07', '08', '19'):2
('07', '08', '20'):4
('07', '08', '41'):6
('07', '16', '19'):4
('07', '16', '20'):5
('07', '16', '41'):3
('07', '19', '20'):3
('07', '19', '41'):7
('07', '20', '41'):2
('08', '16', '19'):5
('08', '16', '20'):4
('08', '16', '41'):3
('08', '19', '20'):6
('08', '19', '41'):4
('08', '20', '41'):3
('16', '19', '41'):4
('16', '20', '41'):9
('19', '20', '41'):1
('04', '05', '34'):5
('04', '05', '40'):5
('04', '05', '43'):3
('04', '05', '45'):8
('04', '34', '40'):2
('04', '34', '43'):5
('04', '34', '45'):5
('04', '40', '43'):4
('04', '40', '45'):7
('04', '43', '45'):2
('05', '34', '40'):11
('05', '34', '43'):2
('05', '34', '45'):7
('05', '40', '43'):7
('05', '40', '45'):8
('05', '43', '45'):5
('34', '40', '43'):4
('34', '40', '45'):3
('34', '43', '45'):6
('40', '43', '45'):6
('11', '13', '16'):3
('11', '13', '24'):5
('11', '13', '30'):5
('11', '13', '41'):4
('11', '16', '24'):4
('11', '16', '30'):2
('11', '16', '41'):8
('11', '24', '30'):6
('11', '24', '41'):7
('11', '30', '41'):6
('13', '16', '24'):5
('13', '16', '30'):3
('13', '16', '41'):1
('13', '24', '30'):6
('13', '24', '41'):6
('13', '30', '41'):5
('16', '24', '30'):4
('16', '24', '41'):4
('16', '30', '41'):6
('24', '30', '41'):4
('06', '11', '14'):6
('06', '11', '15'):5
('06', '11', '19'):8
('06', '11', '22'):6
('06', '14', '15'):7
('06', '14', '19'):3
('06', '14', '22'):2
('06', '15', '19'):5
('06', '15', '22'):8
('06', '19', '22'):5
('11', '14', '15'):4
('11', '14', '19'):5
('11', '14', '22'):4
('11', '15', '19'):6
('11', '15', '22'):6
('11', '19', '22'):8
('14', '15', '19'):4
('14', '15', '22'):6
('14', '19', '22'):5
('15', '19', '22'):2
('19', '29', '31'):5
('19', '29', '37'):6
('19', '29', '38'):10
('19', '29', '39'):3
('19', '31', '37'):3
('19', '31', '38'):6
('19', '31', '39'):9
('19', '37', '38'):5
('19', '37', '39'):5
('19', '38', '39'):9
('29', '31', '37'):5
('29', '31', '38'):6
('29', '31', '39'):4
('29', '37', '38'):6
('29', '37', '39'):2
('29', '38', '39'):8
('31', '37', '38'):3
('31', '37', '39'):7
('31', '38', '39'):4
('37', '38', '39'):4
('08', '26', '27'):3
('08', '26', '30'):3
('08', '26', '37'):4
('08', '26', '45'):3
('08', '27', '30'):7
('08', '27', '37'):3
('08', '27', '45'):5
('08', '30', '37'):4
('08', '30', '45'):4
('26', '27', '30'):5
('26', '27', '37'):4
('26', '27', '45'):1
('26', '30', '37'):5
('26', '30', '45'):2
('26', '37', '45'):5
('27', '30', '37'):8
('27', '30', '45'):5
('27', '37', '45'):5
('30', '37', '45'):6
('03', '12', '23'):5
('03', '12', '40'):3
('03', '12', '41'):3
('03', '12', '43'):5
('03', '23', '40'):2
('03', '23', '41'):6
('03', '23', '43'):7
('03', '40', '41'):2
('03', '40', '43'):10
('03', '41', '43'):7
('12', '23', '40'):7
('12', '23', '41'):7
('12', '23', '43'):6
('12', '40', '41'):6
('12', '40', '43'):4
('12', '41', '43'):4
('23', '40', '43'):8
('23', '41', '43'):8
('40', '41', '43'):10
('18', '25', '27'):5
('18', '25', '29'):8
('18', '25', '38'):5
('18', '25', '39'):2
('18', '27', '29'):5
('18', '27', '38'):5
('18', '27', '39'):5
('18', '29', '38'):4
('18', '29', '39'):7
('18', '38', '39'):4
('25', '27', '29'):4
('25', '27', '38'):3
('25', '27', '39'):3
('25', '29', '38'):5
('25', '29', '39'):3
('25', '38', '39'):4
('27', '29', '38'):4
('27', '29', '39'):2
('27', '38', '39'):4
('05', '07', '08'):8
('05', '07', '31'):5
('05', '07', '40'):8
('05', '07', '43'):8
('05', '08', '31'):6
('05', '08', '40'):7
('05', '31', '40'):5
('05', '31', '43'):5
('07', '08', '31'):7
('07', '08', '40'):3
('07', '08', '43'):5
('07', '31', '40'):2
('07', '31', '43'):6
('07', '40', '43'):6
('08', '31', '40'):2
('08', '31', '43'):6
('08', '40', '43'):3
('31', '40', '43'):6
('09', '15', '16'):7
('09', '15', '20'):5
('09', '15', '22'):4
('09', '15', '36'):6
('09', '16', '20'):6
('09', '16', '22'):6
('09', '16', '36'):7
('09', '20', '22'):7
('09', '20', '36'):1
('09', '22', '36'):5
('15', '16', '20'):6
('15', '16', '22'):7
('15', '16', '36'):4
('15', '20', '22'):3
('15', '20', '36'):6
('15', '22', '36'):5
('16', '20', '36'):7
('16', '22', '36'):6
('20', '22', '36'):4
('11', '20', '25'):4
('11', '20', '28'):5
('11', '20', '48'):5
('11', '20', '49'):6
('11', '25', '28'):2
('11', '25', '48'):4
('11', '25', '49'):4
('11', '28', '48'):3
('11', '28', '49'):4
('11', '48', '49'):9
('20', '25', '28'):3
('20', '25', '48'):3
('20', '25', '49'):9
('20', '28', '48'):3
('20', '28', '49'):6
('20', '48', '49'):4
('25', '28', '48'):3
('25', '28', '49'):3
('25', '48', '49'):4
('28', '48', '49'):6
('05', '07', '20'):8
('05', '07', '22'):4
('05', '07', '38'):8
('05', '20', '22'):7
('05', '20', '38'):7
('05', '20', '40'):5
('05', '22', '38'):4
('05', '22', '40'):7
('05', '38', '40'):4
('07', '20', '22'):3
('07', '20', '38'):4
('07', '20', '40'):4
('07', '22', '38'):3
('07', '22', '40'):6
('07', '38', '40'):6
('20', '22', '38'):5
('20', '38', '40'):8
('22', '38', '40'):4
('03', '17', '18'):4
('03', '17', '33'):2
('03', '17', '43'):2
('03', '17', '49'):2
('03', '18', '33'):2
('03', '18', '43'):3
('03', '18', '49'):3
('03', '33', '43'):5
('03', '33', '49'):6
('03', '43', '49'):4
('17', '18', '33'):4
('17', '18', '43'):6
('17', '18', '49'):6
('17', '33', '43'):4
('17', '33', '49'):1
('17', '43', '49'):4
('18', '33', '43'):2
('18', '33', '49'):6
('18', '43', '49'):5
('33', '43', '49'):3
('01', '10', '28'):4
('01', '10', '30'):5
('01', '10', '31'):10
('01', '10', '35'):5
('01', '28', '30'):9
('01', '28', '31'):4
('01', '28', '35'):4
('01', '30', '31'):8
('01', '30', '35'):5
('01', '31', '35'):3
('10', '28', '30'):6
('10', '28', '31'):5
('10', '28', '35'):7
('10', '30', '31'):6
('10', '30', '35'):7
('10', '31', '35'):3
('28', '30', '31'):5
('28', '30', '35'):4
('28', '31', '35'):5
('30', '31', '35'):2
('04', '07', '14'):8
('04', '07', '28'):3
('04', '07', '34'):3
('04', '07', '49'):7
('04', '14', '28'):4
('04', '14', '34'):5
('04', '14', '49'):6
('04', '28', '34'):1
('04', '28', '49'):4
('04', '34', '49'):5
('07', '14', '28'):4
('07', '14', '34'):7
('07', '14', '49'):5
('07', '28', '34'):2
('07', '28', '49'):4
('07', '34', '49'):5
('14', '28', '34'):3
('14', '28', '49'):7
('14', '34', '49'):4
('28', '34', '49'):8
('02', '05', '19'):3
('02', '05', '30'):6
('02', '05', '42'):5
('02', '05', '43'):5
('02', '19', '30'):5
('02', '19', '42'):3
('02', '19', '43'):5
('02', '30', '42'):5
('02', '30', '43'):4
('02', '42', '43'):4
('05', '19', '30'):2
('05', '19', '42'):5
('05', '19', '43'):3
('05', '30', '42'):5
('05', '30', '43'):2
('05', '42', '43'):2
('19', '30', '42'):6
('19', '30', '43'):4
('19', '42', '43'):4
('30', '42', '43'):6
('01', '13', '25'):2
('01', '13', '34'):2
('01', '13', '44'):3
('01', '13', '47'):3
('01', '25', '34'):7
('01', '25', '44'):7
('01', '25', '47'):2
('01', '34', '44'):5
('01', '34', '47'):4
('01', '44', '47'):3
('13', '25', '34'):2
('13', '25', '44'):4
('13', '25', '47'):2
('13', '34', '44'):3
('13', '34', '47'):5
('13', '44', '47'):3
('25', '34', '44'):6
('25', '34', '47'):4
('25', '44', '47'):5
('34', '44', '47'):9
('08', '20', '29'):6
('08', '20', '39'):2
('08', '20', '43'):4
('08', '20', '45'):6
('08', '29', '39'):3
('08', '29', '45'):1
('08', '39', '43'):3
('08', '39', '45'):6
('08', '43', '45'):4
('20', '29', '39'):5
('20', '29', '43'):3
('20', '29', '45'):8
('20', '39', '43'):1
('20', '39', '45'):5
('20', '43', '45'):7
('29', '39', '43'):3
('29', '39', '45'):5
('39', '43', '45'):6
('01', '05', '20'):2
('01', '05', '30'):3
('01', '05', '46'):2
('01', '05', '49'):8
('01', '20', '30'):3
('01', '20', '46'):3
('01', '20', '49'):4
('01', '30', '46'):8
('01', '30', '49'):7
('01', '46', '49'):3
('05', '20', '30'):3
('05', '20', '46'):2
('05', '20', '49'):7
('05', '30', '49'):2
('05', '46', '49'):5
('20', '30', '46'):6
('20', '30', '49'):3
('20', '46', '49'):2
('30', '46', '49'):7
('19', '24', '37'):4
('19', '24', '43'):5
('19', '24', '45'):2
('19', '24', '47'):4
('19', '37', '43'):4
('19', '37', '45'):2
('19', '37', '47'):3
('19', '43', '45'):5
('19', '43', '47'):5
('19', '45', '47'):3
('24', '37', '43'):7
('24', '37', '45'):3
('24', '37', '47'):5
('24', '43', '45'):3
('24', '43', '47'):3
('24', '45', '47'):6
('37', '43', '45'):3
('37', '43', '47'):1
('37', '45', '47'):2
('43', '45', '47'):7
('10', '19', '28'):4
('10', '19', '34'):3
('10', '19', '36'):2
('10', '19', '44'):3
('10', '28', '36'):4
('10', '28', '44'):5
('10', '34', '36'):6
('10', '34', '44'):2
('10', '36', '44'):8
('19', '28', '34'):4
('19', '28', '36'):6
('19', '28', '44'):4
('19', '34', '36'):9
('19', '34', '44'):5
('19', '36', '44'):4
('28', '34', '36'):4
('28', '34', '44'):10
('28', '36', '44'):6
('34', '36', '44'):6
('08', '10', '19'):3
('08', '10', '25'):5
('08', '10', '38'):6
('08', '10', '39'):6
('08', '19', '25'):6
('08', '19', '38'):7
